transaction_id,user_id,agent_id,transaction_date,amount,transaction_type,fee
1,2954,204,2023-10-19,85.48,Bill Payment,1.9
2,1359,98,2023-01-07,190.82,Cash Out,3.44
3,991,246,2023-10-25,115.99,Cash Out,2.29
4,1039,137,2023-09-11,84.27,Cash In,1.91
5,28,46,2023-12-22,78.6,Cash In,1.74
6,388,204,2023-08-30,99.6,Cash Out,1.49
7,833,193,2023-07-01,231.25,Cash In,2.42
8,250,42,2023-09-19,2.32,Cash Out,0.06
9,2028,162,2023-03-06,45.36,Cash Out,1.11
10,1529,224,2023-01-02,59.05,Cash In,1.3
11,4194,254,2023-03-08,1546.21,Cash Out,44.15
12,1839,284,2023-04-13,430.95,Cash Out,11.07
13,1361,218,2023-08-14,109.36,Cash In,1.96
14,3110,100,2023-09-27,241.61,Cash In,6.06
15,1324,61,2023-09-06,53.77,Cash In,0.57
16,2227,40,2023-12-11,559.66,Transfer,8.47
17,3681,182,2023-03-21,526.32,Cash In,15.38
18,892,59,2023-05-08,35.34,Transfer,0.68
19,1306,223,2023-07-26,527.32,Cash In,13.19
20,4549,208,2023-02-10,105.68,Cash Out,3.02
21,4193,170,2023-07-19,135.57,Cash Out,2.78
22,262,139,2023-09-07,235.83,Transfer,3.59
23,2341,203,2023-11-06,130.26,Cash In,2.89
24,1794,254,2023-05-10,170.16,Cash Out,1.89
25,2297,166,2023-05-05,118.68,Transfer,2.26
26,2293,57,2023-04-16,13.91,Bill Payment,0.34
27,2171,123,2023-12-12,159.91,Cash In,1.94
28,325,137,2023-01-18,10.1,Cash Out,0.23
29,986,250,2023-05-27,21.18,Transfer,0.22
30,4783,57,2023-06-14,232.45,Transfer,3.62
31,3853,67,2023-04-06,126.8,Cash In,1.43
32,1740,231,2023-03-30,155.24,Cash In,3.81
33,1861,244,2023-12-13,36.86,Transfer,0.99
34,3138,286,2023-08-03,231.16,Cash Out,5.75
35,3899,121,2023-07-22,14.93,Cash In,0.24
36,836,54,2023-05-29,58.42,Cash In,1.14
37,4155,288,2023-06-20,466.59,Transfer,8.47
38,2779,278,2023-12-17,5.2,Cash Out,0.07
39,1397,66,2023-11-10,274.0,Cash Out,5.89
40,1677,270,2023-02-04,34.53,Bill Payment,0.61
41,4332,13,2023-12-21,358.21,Transfer,6.82
42,4314,124,2023-11-04,187.19,Cash In,2.77
43,1838,77,2023-08-27,6.87,Cash In,0.13
44,3722,24,2023-10-14,1.71,Transfer,0.03
45,3673,35,2023-11-29,171.32,Cash In,1.79
46,3023,74,2023-08-22,315.81,Cash Out,8.41
47,4685,290,2023-07-30,250.41,Cash In,4.52
48,1672,290,2023-05-18,70.06,Cash In,1.48
